Material,brand_name,color_name,Weight,Price (USD),Availability,Image URL,Product URL
PETG,Prusament PETG,Ultramarine Blue,1kg,29.991736,In stock,/content/images/product/0a481e68-8dd5-46e3-aedd-519fe6629267.jpg,https://www.prusa3d.com/product/product/prusament-petg-ultramarine-blue-1kg-nfc//
PETG,Prusament PETG,Magnetite 40% Grey,1kg,49.060000,In stock,/content/images/product/d5708efa-c47e-4810-bfc2-ac32c6a7fb36.jpg,https://www.prusa3d.com/product/product/prusament-petg-magnetite-40-grey-1kg-nfc//
PETG,Prusament PETG,Matte Black,25g,2.190083,In stock,/content/images/product/dd19571d-0ebc-4450-b057-abd1e3376802.jpg,https://www.prusa3d.com/product/product/prusament-petg-matte-black-25g-sample//
PETG,Prusament PETG,Anthracite Grey – Multipack 10 pcs,1kg,299.917355,Estimated leadtime 1 week,/content/images/product/8d6ee2d7-3933-4a80-8b03-e02649082c59.png,https://www.prusa3d.com/product/product/prusament-petg-anthracite-grey-1kg-nfc-multipack-10-pcs//
PETG,Prusament PETG,Carbon Fiber Black – Multipack 10 pcs,1kg,549.917355,Estimated leadtime 1 week,/content/images/product/16b19559-b067-4119-a44c-dece89154058.png,https://www.prusa3d.com/product/product/prusament-petg-carbon-fiber-black-1kg-nfc-multipack-10-pcs//
PETG,Prusament PETG,Carmine Red – Multipack 10 pcs,1kg,299.917355,Estimated leadtime 1 week,/content/images/product/9eabc59a-d5a6-4b6a-9813-106a7614c9c3.png,https://www.prusa3d.com/product/product/prusament-petg-carmine-red-1kg-nfc-multipack-10-pcs//
PETG,Prusament PETG,Chalky Blue – Multipack 10 pcs,1kg,299.917355,Estimated leadtime 1 week,/content/images/product/65eaa791-3126-4721-b57e-6b5d01266ca4.png,https://www.prusa3d.com/product/product/prusament-petg-chalky-blue-1kg-nfc-multipack-10-pcs//
PETG,Prusament PETG,Clear – Multipack 10 pcs,1kg,299.917355,Estimated leadtime 1 week,/content/images/product/30fbf33c-94f1-4fb4-9e56-5aab4d490cc6.png,https://www.prusa3d.com/product/product/prusament-petg-clear-1kg-nfc-multipack-10-pcs//
PETG,Prusament PETG,Electric Green – Multipack 10 pcs,1kg,299.917355,Estimated leadtime 1 week,/content/images/product/26b4319e-cb44-4fae-9ab9-388d5e41bc2c.jpg,https://www.prusa3d.com/product/product/prusament-petg-electric-green-1kg-nfc-multipack-10-pcs//
PETG,Prusament PETG,Emerald Green – Multipack 10 pcs,1kg,299.917355,Estimated leadtime 1 week,/content/images/product/5203b7e0-0a77-4b7d-9795-1cf20aa05979.jpg,https://www.prusa3d.com/product/product/prusament-petg-emerald-green-1kg-nfc-multipack-10-pcs//
PETG,Prusament PETG,Jet Black – Multipack 10 pcs,1kg,299.917355,Estimated leadtime 1 week,/content/images/product/9ba6fbf6-6029-4070-ac36-f5e53337ae42.png,https://www.prusa3d.com/product/product/prusament-petg-jet-black-1kg-nfc-multipack-10-pcs//
PETG,Prusament PETG,Jungle Green – Multipack 10 pcs,1kg,299.917355,Estimated leadtime 1 week,/content/images/product/9db27c7b-1720-468d-ae72-4018bc0f20ab.png,https://www.prusa3d.com/product/product/prusament-petg-jungle-green-1kg-nfc-multipack-10-pcs//
PETG,Prusament PETG,Lipstick Red – Multipack 10 pcs,1kg,299.917355,Estimated leadtime 1 week,/content/images/product/4e8c6c98-6c9b-44dc-9a01-3087005fb013.png,https://www.prusa3d.com/product/product/prusament-petg-lipstick-red-1kg-nfc-multipack-10-pcs//
PETG,Prusament PETG,Magnetite 40% Grey – Multipack 10 pcs,1kg,490.600000,Estimated leadtime 1 week,/content/images/product/a4592b77-a439-4143-972c-fb9eba84bc09.png,https://www.prusa3d.com/product/product/prusament-petg-magnetite-40-grey-1kg-nfc-multipack-10-pcs//
PETG,Prusament PETG,Mango Yellow – Multipack 10 pcs,1kg,299.917355,Estimated leadtime 1 week,/content/images/product/20cb1990-0f94-42dc-843d-2f72e6c6e015.png,https://www.prusa3d.com/product/product/prusament-petg-mango-yellow-1kg-nfc-multipack-10-pcs//
PETG,Prusament PETG,Matte Black – Multipack 10 pcs,1kg,329.917355,Estimated leadtime 1 week,/content/images/product/2a11db26-428b-4aca-bb4b-c39cd9652123.png,https://www.prusa3d.com/product/product/prusament-petg-matte-black-1kg-nfc-multipack-10-pcs//
PETG,Prusament PETG,Neon Green – Multipack 10 pcs,1kg,299.917355,Estimated leadtime 1 week,/content/images/product/a1659b0b-4732-4911-8a08-4f648a71553d.png,https://www.prusa3d.com/product/product/prusament-petg-neon-green-1kg-nfc-multipack-10-pcs//
PETG,Prusament PETG,Ocean Blue – Multipack 10 pcs,1kg,299.917355,Estimated leadtime 1 week,/content/images/product/bbd4d8f7-35f8-47d0-9c9d-c57029a3d2f5.png,https://www.prusa3d.com/product/product/prusament-petg-ocean-blue-1kg-nfc-multipack-10-pcs//
PETG,Prusament PETG,Pistachio Green – Multipack 10 pcs,1kg,299.917355,Estimated leadtime 1 week,/content/images/product/e3164c73-237b-4c38-a161-667089b24b73.png,https://www.prusa3d.com/product/product/prusament-petg-pistachio-green-1kg-nfc-multipack-10-pcs//
PETG,Prusament PETG,Prusa Galaxy Black – Multipack 10 pcs,1kg,299.917355,Estimated leadtime 1 week,/content/images/product/eeca8000-ea31-48a5-b323-83b55ac7a14e.png,https://www.prusa3d.com/product/product/prusament-petg-prusa-galaxy-black-1kg-nfc-multipack-10-pcs//
PETG,Prusament PETG,Prusa Orange – Multipack 10 pcs,1kg,299.917355,Estimated leadtime 1 week,/content/images/product/282bb786-1358-4cc9-a00a-5f93a66efbb9.png,https://www.prusa3d.com/product/product/prusament-petg-prusa-orange-1kg-nfc-multipack-10-pcs//
PETG,Prusament PETG,Prusa Orange Transparent – Multipack 10 pcs,1kg,299.917355,Estimated leadtime 1 week,/content/images/product/1ff12e6a-3043-499c-a59d-22867c9f4405.png,https://www.prusa3d.com/product/product/prusament-petg-prusa-orange-transparent-1kg-nfc-multipack-10-pcs//
PETG,Prusament PETG,Prusa Pro Green – Multipack 10 pcs,1kg,299.917355,Estimated leadtime 1 week,/content/images/product/1d8106cf-156c-4f0a-bdab-dd69f5532ad4.png,https://www.prusa3d.com/product/product/prusament-petg-prusa-pro-green-1kg-nfc-multipack-10-pcs//
PETG,Prusament PETG,Shimmering Violet – Multipack 10 pcs,1kg,299.917355,Estimated leadtime 1 week,/content/images/product/91421433-a150-42a7-a3d1-9925e319033a.png,https://www.prusa3d.com/product/product/prusament-petg-shimmering-violet-1kg-nfc-multipack-10-pcs//
PETG,Prusament PETG,Signal White – Multipack 10 pcs,1kg,299.917355,Estimated leadtime 1 week,/content/images/product/204f4415-ab75-4c91-a9d4-2b910379a60b.png,https://www.prusa3d.com/product/product/prusament-petg-signal-white-1kg-nfc-multipack-10-pcs//
PETG,Prusament PETG,Sky Blue – Multipack 10 pcs,1kg,299.917355,Estimated leadtime 1 week,/content/images/product/1a5d761a-5b0c-40e1-85ee-d35f26ad8d29.png,https://www.prusa3d.com/product/product/prusament-petg-sky-blue-1kg-nfc-multipack-10-pcs//
